DATE,DGS1
2019-06-26,1.96
2019-06-27,1.93
2019-06-28,1.92
2019-07-01,1.94
2019-07-02,1.91
2019-07-03,1.91
2019-07-04,.
2019-07-05,1.98
2019-07-08,1.99
2019-07-09,2.00
2019-07-10,1.93
2019-07-11,1.97
2019-07-12,1.96
2019-07-15,1.95
2019-07-16,2.00
2019-07-17,1.95
2019-07-18,1.90
2019-07-19,1.94
2019-07-22,1.95
2019-07-23,1.97
2019-07-24,1.98
2019-07-25,1.99
2019-07-26,2.00
2019-07-29,1.98
2019-07-30,1.97
2019-07-31,2.00
2019-08-01,1.88
2019-08-02,1.85
2019-08-05,1.78
2019-08-06,1.80
2019-08-07,1.75
2019-08-08,1.79
2019-08-09,1.78
2019-08-12,1.75
2019-08-13,1.86
2019-08-14,1.79
2019-08-15,1.72
2019-08-16,1.71
2019-08-19,1.75
2019-08-20,1.72
2019-08-21,1.77
2019-08-22,1.79
2019-08-23,1.73
2019-08-26,1.75
2019-08-27,1.77
2019-08-28,1.74
2019-08-29,1.75
2019-08-30,1.76
2019-09-02,.
2019-09-03,1.72
2019-09-04,1.69
2019-09-05,1.73
2019-09-06,1.73
2019-09-09,1.74
2019-09-10,1.81
2019-09-11,1.79
2019-09-12,1.82
2019-09-13,1.88
2019-09-16,1.86
2019-09-17,1.87
2019-09-18,1.87
2019-09-19,1.88
2019-09-20,1.84
2019-09-23,1.81
2019-09-24,1.78
2019-09-25,1.82
2019-09-26,1.79
2019-09-27,1.74
2019-09-30,1.75
2019-10-01,1.73
2019-10-02,1.67
2019-10-03,1.58
2019-10-04,1.58
2019-10-07,1.64
2019-10-08,1.62
2019-10-09,1.59
2019-10-10,1.63
2019-10-11,1.67
2019-10-14,.
2019-10-15,1.65
2019-10-16,1.59
2019-10-17,1.59
2019-10-18,1.58
2019-10-21,1.59
2019-10-22,1.59
2019-10-23,1.58
2019-10-24,1.59
2019-10-25,1.60
2019-10-28,1.60
2019-10-29,1.59
2019-10-30,1.59
2019-10-31,1.53
2019-11-01,1.53
2019-11-04,1.56
2019-11-05,1.62
2019-11-06,1.58
2019-11-07,1.58
2019-11-08,1.58
2019-11-11,.
2019-11-12,1.58
2019-11-13,1.57
2019-11-14,1.55
2019-11-15,1.54
2019-11-18,1.54
2019-11-19,1.54
2019-11-20,1.54
2019-11-21,1.55
2019-11-22,1.56
2019-11-25,1.58
2019-11-26,1.59
2019-11-27,1.60
2019-11-28,.
2019-11-29,1.60
2019-12-02,1.60
2019-12-03,1.57
2019-12-04,1.56
2019-12-05,1.56
2019-12-06,1.57
2019-12-09,1.56
2019-12-10,1.56
2019-12-11,1.55
2019-12-12,1.55
2019-12-13,1.54
2019-12-16,1.54
2019-12-17,1.53
2019-12-18,1.54
2019-12-19,1.52
