DATE,DGS6MO
2024-05-23,5.44
2024-05-24,5.44
2024-05-27,.
2024-05-28,5.43
2024-05-29,5.43
2024-05-30,5.42
2024-05-31,5.42
2024-06-03,5.39
2024-06-04,5.38
2024-06-05,5.37
2024-06-06,5.36
2024-06-07,5.4
2024-06-10,5.4
2024-06-11,5.39
2024-06-12,5.38
2024-06-13,5.36
2024-06-14,5.36
2024-06-17,5.39
2024-06-18,5.37
2024-06-19,.
2024-06-20,5.37
2024-06-21,5.36
2024-06-24,5.37
2024-06-25,5.37
2024-06-26,5.36
