DATE,DGS3
2019-06-26,1.74
2019-06-27,1.71
2019-06-28,1.71
2019-07-01,1.74
2019-07-02,1.71
2019-07-03,1.71
2019-07-04,.
2019-07-05,1.82
2019-07-08,1.84
2019-07-09,1.88
2019-07-10,1.79
2019-07-11,1.84
2019-07-12,1.81
2019-07-15,1.80
2019-07-16,1.84
2019-07-17,1.80
2019-07-18,1.74
2019-07-19,1.77
2019-07-22,1.77
2019-07-23,1.79
2019-07-24,1.79
2019-07-25,1.83
2019-07-26,1.83
2019-07-29,1.81
2019-07-30,1.82
2019-07-31,1.84
2019-08-01,1.67
2019-08-02,1.67
2019-08-05,1.55
2019-08-06,1.54
2019-08-07,1.51
2019-08-08,1.54
2019-08-09,1.58
2019-08-12,1.51
2019-08-13,1.60
2019-08-14,1.53
2019-08-15,1.44
2019-08-16,1.44
2019-08-19,1.49
2019-08-20,1.44
2019-08-21,1.50
2019-08-22,1.53
2019-08-23,1.43
2019-08-26,1.47
2019-08-27,1.43
2019-08-28,1.42
2019-08-29,1.44
2019-08-30,1.42
2019-09-02,.
2019-09-03,1.38
2019-09-04,1.36
2019-09-05,1.47
2019-09-06,1.46
2019-09-09,1.52
2019-09-10,1.61
2019-09-11,1.62
2019-09-12,1.67
2019-09-13,1.76
2019-09-16,1.71
2019-09-17,1.68
2019-09-18,1.72
2019-09-19,1.68
2019-09-20,1.63
2019-09-23,1.61
2019-09-24,1.53
2019-09-25,1.61
2019-09-26,1.61
2019-09-27,1.58
2019-09-30,1.56
2019-10-01,1.51
2019-10-02,1.43
2019-10-03,1.34
2019-10-04,1.35
2019-10-07,1.41
2019-10-08,1.38
2019-10-09,1.43
2019-10-10,1.49
2019-10-11,1.60
2019-10-14,.
2019-10-15,1.60
2019-10-16,1.57
2019-10-17,1.57
2019-10-18,1.56
2019-10-21,1.59
2019-10-22,1.59
2019-10-23,1.58
2019-10-24,1.58
2019-10-25,1.62
2019-10-28,1.65
2019-10-29,1.65
2019-10-30,1.60
2019-10-31,1.52
2019-11-01,1.55
2019-11-04,1.59
2019-11-05,1.63
2019-11-06,1.60
2019-11-07,1.70
2019-11-08,1.70
2019-11-11,.
2019-11-12,1.69
2019-11-13,1.65
2019-11-14,1.59
2019-11-15,1.61
2019-11-18,1.59
2019-11-19,1.59
2019-11-20,1.55
2019-11-21,1.59
2019-11-22,1.60
2019-11-25,1.60
2019-11-26,1.58
2019-11-27,1.61
2019-11-28,.
2019-11-29,1.61
2019-12-02,1.63
2019-12-03,1.54
2019-12-04,1.58
2019-12-05,1.60
2019-12-06,1.64
2019-12-09,1.63
2019-12-10,1.67
2019-12-11,1.62
2019-12-12,1.69
2019-12-13,1.62
2019-12-16,1.67
2019-12-17,1.66
2019-12-18,1.67
2019-12-19,1.65
2019-12-20,1.67
2019-12-23,1.67
2019-12-24,1.64
2019-12-25,.
2019-12-26,1.65
2019-12-27,1.60
2019-12-30,1.59
2019-12-31,1.62
2020-01-01,.
2020-01-02,1.59
2020-01-03,1.54
2020-01-06,1.56
2020-01-07,1.55
2020-01-08,1.61
2020-01-09,1.59
2020-01-10,1.59
2020-01-13,1.60
2020-01-14,1.59
2020-01-15,1.56
2020-01-16,1.58
2020-01-17,1.56
2020-01-20,.
2020-01-21,1.53
2020-01-22,1.52
2020-01-23,1.51
2020-01-24,1.48
2020-01-27,1.41
2020-01-28,1.45
2020-01-29,1.39
2020-01-30,1.37
2020-01-31,1.30
2020-02-03,1.34
2020-02-04,1.40
2020-02-05,1.43
2020-02-06,1.43
2020-02-07,1.39
2020-02-10,1.36
2020-02-11,1.39
2020-02-12,1.42
2020-02-13,1.42
2020-02-14,1.40
2020-02-17,.
2020-02-18,1.37
2020-02-19,1.39
2020-02-20,1.35
2020-02-21,1.30
2020-02-24,1.21
2020-02-25,1.16
2020-02-26,1.14
2020-02-27,1.08
2020-02-28,0.85
2020-03-02,0.85
2020-03-03,0.72
2020-03-04,0.68
2020-03-05,0.61
2020-03-06,0.53
2020-03-09,0.40
2020-03-10,0.58
2020-03-11,0.58
2020-03-12,0.58
2020-03-13,0.58
2020-03-16,0.43
2020-03-17,0.54
2020-03-18,0.66
2020-03-19,0.53
2020-03-20,0.41
2020-03-23,0.31
2020-03-24,0.44
2020-03-25,0.41
2020-03-26,0.36
2020-03-27,0.30
2020-03-30,0.29
2020-03-31,0.29
2020-04-01,0.28
2020-04-02,0.29
2020-04-03,0.30
2020-04-06,0.35
2020-04-07,0.36
2020-04-08,0.34
2020-04-09,0.29
2020-04-10,.
2020-04-13,0.31
2020-04-14,0.29
2020-04-15,0.24
2020-04-16,0.25
