1980,-0.245
1981,2.595
1982,-1.911
1983,4.633
1984,7.259
1985,4.239
1986,3.512
1987,3.462
1988,4.204
1989,3.68
1990,1.919
1991,-0.073
1992,3.555
1993,2.745
1994,4.037
1995,2.719
1996,3.796
1997,4.487
1998,4.45
1999,4.846
2000,4.091
2001,0.949
2002,1.776
2003,2.791
2004,3.798
2005,3.351
2006,2.667
2007,1.79
2008,-0.291
2009,-2.802
2010,2.507
2011,1.847
2012,2.779
2013,1.56
2014,2.588
2015,3.35
2016,3.476
2017,3.364
2018,3.066
