"","date","port.ret"
"1",1月 2011,0.199844965086668
"2",2月 2011,-0.00931465519786497
"3",3月 2011,-0.0461753654976431
"4",4月 2011,0.0721752425027301
"5",5月 2011,0.000416607081509109
"6",6月 2011,-0.0498084555510926
"7",7月 2011,0.00527983778628841
"8",8月 2011,-0.0403011226815153
"9",9月 2011,-0.0127470552173984
"10",10月 2011,0.075429075334029
"11",11月 2011,-0.00698631960014924
"12",12月 2011,-0.0783187512147081
"13",1月 2012,0.0787868566208961
"14",2月 2012,-0.00823679066383983
"15",3月 2012,0.0680296007116237
"16",4月 2012,-0.00607996010435163
"17",5月 2012,-0.063436113861433
"18",6月 2012,0.0660793378571607
"19",7月 2012,0.00115383936931486
"20",8月 2012,0.0329450479210192
"21",9月 2012,0.0132845090102987
"22",10月 2012,-0.0828310047593606
"23",11月 2012,0.0230769426460585
"24",12月 2012,0.00911076861379197
"25",1月 2013,0.0394860106205358
"26",2月 2013,0.00915366908266224
"27",3月 2013,0.0279736224010321
"28",4月 2013,-0.00825353320790786
"29",5月 2013,0.0495596333502533
"30",6月 2013,-0.0264897570995886
"31",7月 2013,0.0445961531538935
"32",8月 2013,-0.0337922008333126
"33",9月 2013,0.0611858952717119
"34",10月 2013,0.0361187899053724
"35",11月 2013,0.0406150536050257
"36",12月 2013,0.0279896658944364
