Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,125.529999,125.870003,125.330002,125.750000,97.955147,91218900
2011-01-03,126.709999,127.599998,125.699997,127.050003,98.967842,138725200
2011-01-04,127.330002,127.370003,126.190002,126.980003,98.913300,137409700
2011-01-05,126.580002,127.720001,126.459999,127.639999,99.427414,133975300
2011-01-06,127.690002,127.830002,127.010002,127.389999,99.232689,122519000
2011-01-07,127.559998,127.769997,126.150002,127.139999,99.037926,156034600
2011-01-10,126.580002,127.160004,126.199997,126.980003,98.913300,122401700
2011-01-11,127.440002,127.739998,126.949997,127.430000,99.263863,110287000
2011-01-12,128.210007,128.720001,127.459999,128.580002,100.159660,107929200
2011-01-13,128.630005,128.690002,128.050003,128.369995,99.996056,129048400
2011-01-14,128.190002,129.330002,128.100006,129.300003,100.720512,117677900
2011-01-18,129.179993,129.639999,129.029999,129.520004,100.891876,114401300
2011-01-19,129.410004,129.539993,127.910004,128.250000,99.902573,151958400
2011-01-20,127.959999,128.399994,127.129997,128.080002,99.770195,175745700
2011-01-21,128.880005,129.169998,128.229996,128.369995,99.996056,151462900
2011-01-24,128.289993,129.250000,128.259995,129.100006,100.564713,113715500
2011-01-25,128.759995,129.279999,128.110001,129.169998,100.619240,167552200
2011-01-26,129.490005,130.050003,129.229996,129.669998,101.008713,141281500
2011-01-27,129.699997,130.210007,129.470001,129.990005,101.257988,123302700
2011-01-28,130.139999,130.350006,127.510002,127.720001,99.489746,295637300
2011-01-31,128.070007,128.779999,127.750000,128.679993,100.237541,149249200
2011-02-01,129.460007,130.970001,129.380005,130.740005,101.842224,167194300
2011-02-02,130.399994,130.839996,130.330002,130.490005,101.647484,118323600
2011-02-03,130.259995,130.979996,129.570007,130.779999,101.873383,145886700
2011-02-04,130.830002,131.199997,130.229996,131.149994,102.161575,134634800
2011-02-07,131.440002,132.399994,131.429993,131.970001,102.800362,112439100
2011-02-08,132.089996,132.639999,131.729996,132.570007,103.267731,99072800
2011-02-09,132.210007,132.630005,131.610001,132.270004,103.034027,146436700
2011-02-10,131.600006,132.470001,131.300003,132.320007,103.073006,162708500
2011-02-11,131.800003,133.279999,131.770004,133.110001,103.688370,137710300
2011-02-14,133.029999,133.539993,132.880005,133.429993,103.937668,101690700
2011-02-15,133.020004,133.220001,132.320007,133.009995,103.610474,119575400
2011-02-16,133.460007,134.009995,133.190002,133.850006,104.264832,130183500
2011-02-17,133.460007,134.429993,133.339996,134.250000,104.576355,109810500
2011-02-18,134.369995,134.690002,134.059998,134.529999,104.794548,130002400
2011-02-22,133.119995,134.559998,131.470001,131.830002,102.691307,233116400
2011-02-23,131.750000,132.070007,130.210007,131.020004,102.060341,227584000
2011-02-24,130.880005,131.440002,129.699997,130.929993,101.990219,260431400
2011-02-25,131.479996,132.410004,131.399994,132.330002,103.080788,141686900
2011-02-28,132.820007,133.320007,132.380005,133.149994,103.719521,141585500
2011-03-01,133.570007,133.690002,130.889999,130.929993,101.990219,258565500
2011-03-02,130.750000,131.820007,130.350006,131.210007,102.208336,200277400
2011-03-03,132.399994,133.619995,132.389999,133.470001,103.968788,176480100
2011-03-04,133.369995,133.630005,131.600006,132.470001,103.189850,277202300
2011-03-07,132.860001,133.160004,130.740005,131.429993,102.379707,216790400
