"","date","VW.cum","EW.cum","VW.ret","EW.ret"
"1",2012-12-31,1,1,NA,NA
"2",2013-01-02,1.03072326793068,1.02941675278914,0.0307232679306821,0.0294167527891385
"3",2013-01-03,1.0309031273158,1.02936384346182,0.000174498229265296,-5.13973832023673e-05
"4",2013-01-04,1.0449506779232,1.03944569346467,0.0136264506675572,0.00979425308834081
"5",2013-01-07,1.04082060206265,1.04000506101613,-0.00395241225045306,0.000538140236637563
"6",2013-01-08,1.0279867288468,1.02915872297224,-0.0123305334179824,-0.0104291204441721
"7",2013-01-09,1.01711748805721,1.02054882566324,-0.0105733279278595,-0.00836595669531859
"8",2013-01-10,1.01746434501016,1.020725000971,0.000341019554788824,0.000172628004976083
"9",2013-01-11,1.02195924642175,1.02636809002663,0.00441774833058273,0.0055285106666938
"10",2013-01-14,1.02452908776902,1.02927632616304,0.00251462214003562,0.00283352158419148
"11",2013-01-15,1.01550158354019,1.02198308987041,-0.0088113693760361,-0.00708579038227719
"12",2013-01-16,1.01615989508074,1.02118417478974,0.000648262446082182,-0.000781730234670097
"13",2013-01-17,1.02518987588046,1.02943836488908,0.00888637786576019,0.00808295927718894
"14",2013-01-18,1.02536416802052,1.03086944245066,0.000170009618867262,0.00139015370943474
"15",2013-01-22,1.02326255187362,1.02947551199063,-0.00204962901225247,-0.00135218913533275
"16",2013-01-23,1.03379898278216,1.04229078894656,0.0102968987668395,0.0124483553097294
"17",2013-01-24,1.04169023944159,1.05050842878928,0.0076332602283955,0.00788421036611542
"18",2013-01-25,1.06249507937629,1.0714384692873,0.0199721943692719,0.0199237244789623
"19",2013-01-28,1.060467782039,1.06624336805233,-0.00190805338927647,-0.00484871636018858
"20",2013-01-29,1.03124704573,1.03626264587761,-0.0275545724291774,-0.0281180854887658
"21",2013-01-30,1.04428151922074,1.05154684559909,0.0126395256546079,0.0147493492912119
"22",2013-01-31,1.03313050825165,1.03948601062054,-0.0106781655749385,-0.0114696126273713
"23",2013-02-01,1.03948837916271,1.04548417779697,0.00615398621982588,0.00577032024977098
"24",2013-02-04,1.02420027282354,1.03068565105273,-0.0147073374225547,-0.0141547113371161
"25",2013-02-05,1.0408005531364,1.04573958715583,0.016208041291667,0.0146057491803839
"26",2013-02-06,1.03052525841116,1.03520790621952,-0.00987249160685066,-0.0100710359114879
"27",2013-02-07,1.02462094163594,1.02896754727283,-0.00572942460849912,-0.00602812141329045
"28",2013-02-08,1.03222881319672,1.03681815433236,0.00742505960168072,0.00762959636611771
"29",2013-02-11,1.02964164447877,1.03167030790931,-0.00250639071964387,-0.00496504271413034
"30",2013-02-12,1.0283136686656,1.03126538875099,-0.00128974563169193,-0.000392488913579458
"31",2013-02-13,1.03863117771446,1.04403169825323,0.0100334259509105,0.0123792669098519
"32",2013-02-14,1.05067242952551,1.05274513959473,0.0115933856689587,0.00834595477903211
"33",2013-02-15,1.04778171645459,1.04955523275423,-0.00275129811127617,-0.00303008460502074
"34",2013-02-19,1.04610434081726,1.04997131792741,-0.00160088271343983,0.000396439520467418
"35",2013-02-20,1.03435950025122,1.03887457876759,-0.0112272171214353,-0.0105686117042899
"36",2013-02-21,1.02919455097791,1.03409059874403,-0.00499337925746313,-0.00460496398827204
"37",2013-02-22,1.04077489280171,1.04447623226935,0.0112518491404752,0.0100432530166445
"38",2013-02-25,1.0214001399367,1.0248642097649,-0.0186156997051102,-0.0187768968776251
"39",2013-02-26,1.02836673391896,1.03100150896538,0.00682063151342027,0.0059884023092982
"40",2013-02-27,1.04568623445058,1.04803660719509,0.0168417549502193,0.0165228644978477
"41",2013-02-28,1.04689985329719,1.04841194026266,0.00116059560375548,0.000358129730390955
"42",2013-03-01,1.05335192844838,1.05536767133111,0.00616302995063167,0.00663454010901754
"43",2013-03-04,1.0632681373238,1.06777695012735,0.00941395615996288,0.0117582517764567
"44",2013-03-05,1.07308534295791,1.07724352695618,0.00923304789215185,0.00886568756490069
"45",2013-03-06,1.07327727282892,1.07781115009529,0.000178857974592495,0.00052692183791514
"46",2013-03-07,1.07377311441628,1.07892753630337,0.00046198834161304,0.00103579018270961
"47",2013-03-08,1.07766112551238,1.08265840202926,0.00362088698617979,0.00345793911115688
"48",2013-03-11,1.06950166015897,1.07493174161486,-0.00757145744635601,-0.00713674821154386
"49",2013-03-12,1.07494207243653,1.08068711092183,0.00508686660360258,0.0053541718828789
"50",2013-03-13,1.07820260530594,1.08461486648284,0.00303321728027117,0.00363449838654772
"51",2013-03-14,1.07309487639629,1.07898729135016,-0.00473726262996965,-0.00518854692719617
"52",2013-03-15,1.06335675187983,1.06923198625031,-0.00907480291878893,-0.00904116774873442
"53",2013-03-18,1.05315170045656,1.05856003077955,-0.00959701568192661,-0.00998095418767042
"54",2013-03-19,1.04888266566691,1.05480685579786,-0.00405358011367074,-0.00354554760482462
"55",2013-03-20,1.05760473107748,1.06289697842573,0.00831557780109926,0.00766976682356257
"56",2013-03-21,1.04192322562562,1.04736432862372,-0.0148273783116353,-0.0146135045232817
"57",2013-03-22,1.04885658064304,1.0544843488207,0.00665438186509126,0.00679803579556548
"58",2013-03-25,1.04243263972197,1.04792907504158,-0.00612470860137593,-0.00621656811355342
"59",2013-03-26,1.05292470676999,1.05892230400905,0.0100649832403723,0.0104904322528081
"60",2013-03-27,1.06200444682775,1.06708672129601,0.00862335169777917,0.0077101192939697
"61",2013-03-28,1.07330093270039,1.07780359017168,0.010636947807882,0.0100431095821865
"62",2013-04-01,1.05073268157852,1.0579141864054,-0.0210269556601371,-0.0184536440105141
