Date,Open,High,Low,Close,Adj Close,Volume
2012-07-20,136.949997,137.160004,136.320007,136.470001,109.576454,142904500
2012-07-23,134.470001,136.380005,133.839996,135.089996,108.468369,145210900
2012-07-24,135.190002,135.250000,133.029999,133.929993,107.537003,173301200
2012-07-25,134.210007,134.559998,133.250000,133.960007,107.561104,129122300
2012-07-26,135.889999,136.460007,135.259995,136.169998,109.335571,156526500
2012-07-27,136.889999,139.070007,136.139999,138.679993,111.350914,236768900
2012-07-30,138.520004,139.339996,138.270004,138.679993,111.350914,106782000
2012-07-31,138.490005,138.869995,137.710007,137.710007,110.572075,120575900
2012-08-01,138.699997,138.729996,137.399994,137.589996,110.475716,138293800
2012-08-02,136.550003,137.570007,135.580002,136.639999,109.712967,199556600
2012-08-03,138.559998,139.639999,136.679993,139.350006,111.888901,157825000
2012-08-06,139.720001,140.169998,139.559998,139.619995,112.105713,86326200
2012-08-07,140.179993,140.919998,140.029999,140.320007,112.667732,109545100
2012-08-08,139.850006,140.649994,139.809998,140.490005,112.804253,89754700
2012-08-09,140.289993,140.889999,140.149994,140.610001,112.900543,90291700
2012-08-10,140.039993,140.889999,139.809998,140.839996,113.085274,99792700
2012-08-13,140.600006,140.839996,140.039993,140.770004,113.029015,79426900
2012-08-14,141.289993,141.380005,140.369995,140.789993,113.045120,102379400
2012-08-15,140.639999,141.190002,140.550003,140.949997,113.173576,71085900
2012-08-16,141.149994,142.160004,140.800003,141.990005,114.008621,112014200
2012-08-17,142.229996,142.300003,141.860001,142.179993,114.161224,90813700
2012-08-20,141.979996,142.220001,141.589996,142.190002,114.169220,78255700
2012-08-21,142.539993,143.089996,141.449997,141.759995,113.823952,105581100
2012-08-22,141.399994,142.050003,141.070007,141.820007,113.872139,133243500
2012-08-23,141.470001,141.479996,140.440002,140.660004,112.940727,111466400
2012-08-24,140.309998,141.830002,140.220001,141.509995,113.623260,99481200
2012-08-27,141.889999,142.080002,141.339996,141.539993,113.647316,68785900
2012-08-28,141.179993,141.839996,140.970001,141.399994,113.534943,75689600
2012-08-29,141.520004,141.889999,141.119995,141.509995,113.623260,65421300
2012-08-30,140.899994,140.940002,140.190002,140.490005,112.804253,96589900
2012-08-31,141.289993,141.820007,140.360001,141.160004,113.342224,151970400
2012-09-04,141.039993,141.460007,140.130005,141.029999,113.237885,120226200
2012-09-05,141.089996,141.470001,140.630005,140.910004,113.141479,100660300
2012-09-06,141.759995,143.779999,141.750000,143.770004,115.437859,158272500
2012-09-07,144.009995,144.389999,143.880005,144.330002,115.887520,107272100
2012-09-10,144.190002,144.440002,143.460007,143.509995,115.229095,86458500
2012-09-11,143.600006,144.369995,143.559998,143.910004,115.550247,88760000
2012-09-12,144.389999,144.550003,143.899994,144.389999,115.935722,87640900
2012-09-13,144.369995,147.039993,143.990005,146.589996,117.702164,225470200
2012-09-14,146.880005,148.110001,146.759995,147.240005,118.224052,169777000
2012-09-17,146.940002,147.190002,146.369995,146.740005,117.822594,119427800
2012-09-18,146.490005,146.809998,146.250000,146.619995,117.726204,98326600
2012-09-19,146.789993,147.169998,146.410004,146.699997,117.790428,128318300
2012-09-20,146.029999,146.789993,145.630005,146.710007,117.798485,154009800
2012-09-21,146.639999,146.669998,145.809998,145.869995,117.749283,108737500
2012-09-24,145.149994,145.979996,145.039993,145.649994,117.571663,95682000
2012-09-25,145.960007,146.240005,144.059998,144.100006,116.320480,133165200
2012-09-26,144.070007,144.110001,142.949997,143.289993,115.666603,146502200
2012-09-27,143.889999,144.970001,143.509995,144.639999,116.756363,111830300
2012-09-28,144.089996,144.559998,143.460007,143.970001,116.215508,150696100
2012-10-01,144.520004,145.690002,144.009995,144.350006,116.522270,135911200
2012-10-02,144.919998,145.149994,143.830002,144.500000,116.643387,113422200
2012-10-03,144.889999,145.429993,144.130005,145.089996,117.119621,121283100
2012-10-04,145.639999,146.339996,145.440002,146.130005,117.959167,124311600
2012-10-05,146.910004,147.160004,145.699997,146.139999,117.967247,124842100
2012-10-08,145.600006,146.119995,145.309998,145.639999,117.563622,78415400
2012-10-09,145.529999,145.649994,144.149994,144.199997,116.401176,148872900
2012-10-10,144.179993,144.320007,143.089996,143.279999,115.658577,124247500
2012-10-11,144.279999,144.490005,143.330002,143.360001,115.723129,123601500
2012-10-12,143.460007,143.949997,142.580002,142.889999,115.343719,124181900
2012-10-15,143.229996,144.229996,142.770004,144.080002,116.304321,107689100
2012-10-16,144.759995,145.639999,144.660004,145.539993,117.482872,108815500
2012-10-17,145.639999,146.320007,145.419998,146.199997,118.015656,128834100
2012-10-18,145.820007,146.520004,145.330002,145.820007,117.708923,148108500
2012-10-19,145.550003,145.559998,143.050003,143.389999,115.747345,185645200
2012-10-22,143.149994,143.669998,142.279999,143.410004,115.763542,125578600
2012-10-23,141.860001,142.059998,140.830002,141.419998,114.157097,192056300
2012-10-24,141.929993,142.100006,140.800003,141.020004,113.834213,120179400
2012-10-25,142.020004,142.279999,140.570007,141.429993,114.165169,134457400
2012-10-26,141.300003,141.839996,140.389999,141.350006,114.100624,146023500
2012-10-31,141.850006,142.029999,140.679993,141.350006,114.100624,103438500
2012-11-01,141.649994,143.009995,141.520004,142.830002,115.295326,100995600
2012-11-02,143.679993,143.720001,141.410004,141.559998,114.270103,137702200
2012-11-05,141.350006,142.169998,140.929993,141.850006,114.504204,98378500
2012-11-06,142.279999,143.520004,142.130005,142.960007,115.400261,107068100
2012-11-07,141.660004,141.679993,139.059998,139.720001,112.784859,264304500
2012-11-08,139.699997,140.410004,137.929993,138.039993,111.428703,181517300
2012-11-09,137.619995,139.440002,137.550003,138.160004,111.525597,201055300
2012-11-12,138.589996,138.809998,137.960007,138.270004,111.614365,97677500
2012-11-13,137.539993,139.250000,137.360001,137.789993,111.226906,123018300
2012-11-14,138.210007,138.429993,135.619995,135.929993,109.725487,191505000
2012-11-15,135.979996,136.490005,135.179993,135.699997,109.539780,178128400
2012-11-16,135.899994,136.639999,134.699997,136.369995,110.080681,239483900
2012-11-19,137.899994,139.149994,136.410004,139.130005,112.308601,151495800
2012-11-20,138.910004,139.419998,138.080002,139.190002,112.356987,119807400
2012-11-21,139.309998,139.570007,139.029999,139.449997,112.566879,81710800
2012-11-23,140.130005,141.399994,140.039993,141.350006,114.100624,65409200
2012-11-26,140.649994,141.360001,140.190002,141.050003,113.858444,100124400
2012-11-27,140.910004,141.389999,140.240005,140.330002,113.277260,128646200
2012-11-28,139.759995,141.539993,139.000000,141.460007,114.189392,177086500
2012-11-29,141.990005,142.509995,141.369995,142.119995,114.722206,151085900
2012-11-30,142.139999,142.419998,141.660004,142.149994,114.746422,136568300
2012-12-03,142.800003,142.919998,141.339996,141.449997,114.181297,124656300
2012-12-04,141.440002,141.869995,140.869995,141.250000,114.019867,127512200
2012-12-05,141.369995,142.160004,140.369995,141.500000,114.221687,147300500
2012-12-06,141.369995,142.039993,141.160004,141.979996,114.609169,103220600
2012-12-07,142.529999,142.690002,141.669998,142.410004,114.956291,108726400
2012-12-10,142.210007,142.809998,142.149994,142.470001,115.004692,98840700
2012-12-11,143.059998,144.110001,142.990005,143.440002,115.787712,152570400
2012-12-12,144.000000,144.550003,143.309998,143.509995,115.844231,145880100
2012-12-13,143.419998,143.830002,142.270004,142.630005,115.133896,135715000
2012-12-14,142.320007,142.580002,141.880005,142.100006,114.706062,137701700
2012-12-17,142.470001,143.850006,142.429993,143.770004,116.054077,143238200
2012-12-18,144.000000,145.500000,143.789993,145.369995,117.345642,177762800
2012-12-19,145.529999,145.580002,144.240005,144.289993,116.473785,150895400
2012-12-20,144.380005,145.139999,143.979996,145.119995,117.143860,168487000
2012-12-21,142.169998,144.089996,141.940002,142.789993,116.080498,245883800
2012-12-24,142.479996,142.559998,142.190002,142.350006,115.722824,53874600
2012-12-26,142.639999,142.710007,141.350006,141.750000,115.235016,106947700
2012-12-27,141.789993,142.080002,139.919998,141.559998,115.080559,167920600
2012-12-28,140.639999,141.419998,139.869995,140.029999,113.836754,148806700
2012-12-31,139.660004,142.559998,139.539993,142.410004,115.771637,243935200
2013-01-02,145.110001,146.149994,144.729996,146.059998,118.738869,192059000
2013-01-03,145.990005,146.369995,145.339996,145.729996,118.470551,144761800
2013-01-04,145.970001,146.610001,145.669998,146.369995,118.990875,116817700
2013-01-07,145.850006,146.110001,145.429993,145.970001,118.665680,110002500
2013-01-08,145.710007,145.910004,144.979996,145.550003,118.324242,121265100
2013-01-09,145.869995,146.320007,145.639999,145.919998,118.625031,90745600
2013-01-10,146.729996,147.089996,145.970001,147.080002,119.568039,130735400
2013-01-11,147.039993,147.149994,146.610001,147.070007,119.559921,113917300
2013-01-14,146.889999,147.070007,146.429993,146.970001,119.478622,89567200
2013-01-15,146.289993,147.210007,146.199997,147.070007,119.559921,93172600
2013-01-16,146.770004,147.279999,146.610001,147.050003,119.543655,104849500
2013-01-17,147.699997,148.419998,147.149994,148.000000,120.315903,133833500
2013-01-18,147.970001,148.490005,147.429993,148.330002,120.584244,169906000
2013-01-22,148.330002,149.130005,147.979996,149.130005,121.234581,111797300
2013-01-23,149.130005,149.500000,148.860001,149.369995,121.429672,104596100
2013-01-24,149.149994,150.139999,149.009995,149.410004,121.462234,146426400
2013-01-25,149.880005,150.250000,149.369995,150.250000,122.145088,147211600
2013-01-28,150.289993,150.330002,149.509995,150.070007,121.998772,113357700
2013-01-29,149.770004,150.850006,149.669998,150.660004,122.478455,105694400
2013-01-30,150.639999,150.940002,149.929993,150.070007,121.998772,137447700
2013-01-31,149.889999,150.380005,149.600006,149.699997,121.697975,108975800
2013-02-01,150.649994,151.419998,150.389999,151.240005,122.949890,131173000
2013-02-04,150.320007,151.270004,149.429993,149.539993,121.567894,159073600
2013-02-05,150.350006,151.479996,150.289993,151.050003,122.795418,113912400
2013-02-06,150.520004,151.259995,150.410004,151.160004,122.884827,138762800
2013-02-07,151.210007,151.350006,149.860001,150.960007,122.722267,162490000
2013-02-08,151.220001,151.889999,151.220001,151.800003,123.405167,103133700
2013-02-11,151.740005,151.899994,151.389999,151.770004,123.380791,73775000
2013-02-12,151.779999,152.300003,151.610001,152.020004,123.584007,65392700
2013-02-13,152.330002,152.610001,151.720001,152.149994,123.689644,82322600
2013-02-14,151.690002,152.470001,151.520004,152.289993,123.803520,80834300
2013-02-15,152.429993,152.589996,151.550003,152.110001,123.657158,215226500
2013-02-19,152.369995,153.279999,152.160004,153.250000,124.583969,95105400
2013-02-20,153.139999,153.190002,151.259995,151.339996,123.031181,160574800
2013-02-21,150.960007,151.419998,149.940002,150.419998,122.283272,183257000
2013-02-22,151.149994,151.889999,150.490005,151.889999,123.478302,106356600
2013-02-25,152.630005,152.860001,149.000000,149.000000,121.128891,245824800
2013-02-26,149.720001,150.199997,148.729996,150.020004,121.958138,186596200
2013-02-27,149.889999,152.330002,149.759995,151.910004,123.494560,150781900
2013-02-28,151.899994,152.869995,151.410004,151.610001,123.250702,126866000
2013-03-01,151.089996,152.339996,150.410004,152.110001,123.657158,170634800
2013-03-04,151.759995,152.919998,151.520004,152.919998,124.315636,99010200
2013-03-05,153.660004,154.699997,153.639999,154.289993,125.429344,121431900
2013-03-06,154.839996,154.919998,154.160004,154.500000,125.600090,94469900
2013-03-07,154.699997,154.979996,154.520004,154.779999,125.827713,86101400
2013-03-08,155.460007,155.649994,154.660004,155.440002,126.364296,123477800
2013-03-11,155.320007,156.039993,155.130005,156.029999,126.843918,83746800
2013-03-12,155.919998,156.100006,155.210007,155.679993,126.559364,105755800
2013-03-13,155.759995,156.119995,155.229996,155.899994,126.738213,92550900
2013-03-14,156.309998,156.800003,155.910004,156.729996,127.412964,126329900
2013-03-15,155.850006,156.039993,155.309998,155.830002,127.244751,138601100
2013-03-18,154.339996,155.639999,154.199997,154.970001,126.542496,126704300
2013-03-19,155.300003,155.509995,153.589996,154.610001,126.248528,167567300
2013-03-20,155.520004,155.949997,155.259995,155.690002,127.130463,113759300
2013-03-21,154.759995,155.639999,154.100006,154.360001,126.044395,128605000
2013-03-22,154.850006,155.600006,154.729996,155.600006,127.056999,111163600
2013-03-25,156.009995,156.270004,154.350006,154.949997,126.526154,151322300
2013-03-26,155.589996,156.229996,155.419998,156.190002,127.538696,86856600
2013-03-27,155.259995,156.240005,155.000000,156.190002,127.538696,99950600
2013-03-28,156.089996,156.850006,155.750000,156.669998,127.930656,102932800
2013-04-01,156.589996,156.910004,155.669998,156.050003,127.424393,99194100
2013-04-02,156.610001,157.210007,156.369995,156.820007,128.053177,101504300
2013-04-03,156.910004,157.029999,154.820007,155.229996,126.754829,154167400
2013-04-04,155.429993,156.169998,155.089996,155.860001,127.269264,131885000
2013-04-05,153.949997,155.350006,153.770004,155.160004,126.697624,159666000
2013-04-08,155.270004,156.220001,154.750000,156.210007,127.555046,86571200
2013-04-09,156.500000,157.320007,155.979996,156.750000,127.996010,101922200
2013-04-10,157.169998,158.869995,157.130005,158.669998,129.563812,135711100
2013-04-11,158.699997,159.710007,158.539993,159.190002,129.988419,110142500
2013-04-12,158.679993,159.039993,157.919998,158.800003,129.669968,116359900
2013-04-15,158.000000,158.130005,155.100006,155.119995,126.665016,217259000
2013-04-16,156.289993,157.490005,155.910004,157.410004,128.534927,147507800
2013-04-17,156.289993,156.320007,154.279999,155.110001,126.656784,226834800
2013-04-18,155.369995,155.410004,153.550003,154.139999,125.864769,167583200
2013-04-19,154.500000,155.550003,154.119995,155.479996,126.958946,149687600
2013-04-22,155.779999,156.539993,154.750000,156.169998,127.522362,106553500
2013-04-23,156.949997,157.929993,156.169998,157.779999,128.837112,166141300
2013-04-24,157.830002,158.300003,157.539993,157.880005,128.918732,96781200
2013-04-25,158.339996,159.270004,158.100006,158.520004,129.441330,131060600
2013-04-26,158.330002,158.600006,157.729996,158.240005,129.212677,95918800
2013-04-29,158.669998,159.649994,158.419998,159.300003,130.078232,88572800
2013-04-30,159.270004,159.720001,158.610001,159.679993,130.388535,116010700
2013-05-01,159.330002,159.410004,158.100006,158.279999,129.245346,138874200
2013-05-02,158.679993,159.889999,158.529999,159.750000,130.445694,96407600
2013-05-03,161.139999,161.880005,159.779999,161.369995,131.768478,144202300
2013-05-06,161.490005,162.009995,161.419998,161.779999,132.103333,66882100
2013-05-07,162.130005,162.649994,161.669998,162.600006,132.772858,90359200
2013-05-08,162.419998,163.389999,162.330002,163.339996,133.377136,97419200
2013-05-09,163.270004,163.699997,162.470001,162.880005,133.001541,106738600
2013-05-10,162.990005,163.550003,162.509995,163.410004,133.434250,103203000
2013-05-13,163.199997,163.809998,162.820007,163.539993,133.540421,81843200
2013-05-14,163.669998,165.350006,163.669998,165.229996,134.920410,119000900
2013-05-15,164.960007,166.449997,164.910004,166.119995,135.647171,120718500
2013-05-16,165.779999,166.360001,165.089996,165.339996,135.010208,109913600
2013-05-17,165.949997,167.039993,165.729996,166.940002,136.316742,129801000
2013-05-20,166.779999,167.580002,166.610001,166.929993,136.308578,85071200
2013-05-21,167.080002,167.800003,166.500000,167.169998,136.504547,95804200
2013-05-22,167.339996,169.070007,165.169998,165.929993,135.492035,244031800
2013-05-23,164.160004,165.910004,163.940002,165.449997,135.100067,211064400
2013-05-24,164.470001,165.380005,163.979996,165.309998,134.985748,151573900
2013-05-28,167.039993,167.779999,165.809998,166.300003,135.794144,143679800
2013-05-29,165.419998,165.800003,164.339996,165.220001,134.912277,160363400
2013-05-30,165.350006,166.589996,165.220001,165.830002,135.410355,107793800
2013-05-31,165.369995,166.309998,163.130005,163.449997,133.466919,176850100
2013-06-03,163.830002,164.460007,162.660004,164.350006,134.201874,168390700
2013-06-04,164.440002,165.100006,162.729996,163.559998,133.556808,157631500
2013-06-05,163.089996,163.419998,161.130005,161.270004,131.686920,211737800
2013-06-06,161.199997,162.740005,160.250000,162.729996,132.879059,200225500
2013-06-07,163.850006,164.949997,163.139999,164.800003,134.569290,188337800
2013-06-10,165.309998,165.399994,164.369995,164.800003,134.569290,105667100
2013-06-11,163.300003,164.539993,162.740005,163.100006,133.181183,159505400
2013-06-12,164.220001,164.389999,161.600006,161.750000,132.078812,177361500
2013-06-13,161.660004,164.500000,161.300003,164.210007,134.087540,163587800
